"'Allowance' column title","'ค่าเผื่อ' ชื่อคอลัมน์"
"[Yes]<br />- If you have slightly 'dirty data' (eg. product names with linebreaks in) set this to yes.","[ใช่] <br /> - หากคุณมีเล็กน้อย 'ข้อมูลที่สกปรก (. เช่นชื่อผลิตภัณฑ์ที่มีการแบ่งบรรทัดใน) ตั้งค่านี้เป็นใช่"
"[Yes]<br />- If you have spreadsheet cells getting mixed up, check this is turned on.<br />- If set to Yes, set the spreadsheet importer to 'Fields de-limited by " character'.","[ใช่] <br /> - หากคุณมีเซลล์สเปรดชีตได้รับการผสมขึ้นตรวจสอบนี้เปิดอยู่ <br /> -. หากการตั้งค่าใช่ตั้งผู้นำเข้าสเปรดชีตเพื่อ 'ทุ่ง de- จำกัด โดย "ตัวอักษร'"
"&nbsp;&nbsp;Custom Value","& nbsp; & nbsp; ค่าที่กำหนดเอง"
"&nbsp;&nbsp;Value","& nbsp; & nbsp; ราคา"
"&nbsp;Eg. enter 'Captured amount' to not show authorize.net payments<br / >Separate multiple phrases by the pipe character: <b>|</b>","& nbsp; เช่น ป้อน 'จำนวนเงินที่ถูกจับ' ที่จะไม่แสดงการชำระเงิน authorize.net <br /> เฉพาะกิจวลีหลายตัวละครท่อ: <b> | </ b>"
"<b>Default Label dimensions (portrait):</b>","<b> ขนาดเริ่มต้นฉลาก (แนวตั้ง): </ b>"
"<b>Label dimensions:250,200</b>","<b> ขนาดป้ายชื่อ: 250,200 </ b>"
"<div class="column_config_section" style="width:60%!important">","<class = "column_config_section" สไตล์ div = "width: 60% ที่สำคัญ">"
"<div class="column_config_section">","<div class = "column_config_section">"
"<div class="column_config_section"><div class="column_config_para" style="margin-top: -12em;"><b>Structure:</b> <span class = "comment_code">{if X}</span><span class = "comment_code">{X}</span>,|<span  class = "comment_code">{/if}</span><br /><b>Can use these codes: </b><br /><span class = "comment_code">{prefix}</span><span  class = "comment_code">{name}</span><span class = "comment_code">{firstname}</span><span class = "comment_code">{lastname}</span><span  class = "comment_code">{suffix}</span><span class = "comment_code">{company}</span><span class = "comment_code">{street}</span><span  class = "comment_code">{city}</span><span class = "comment_code">{postcode}</span><span class = "comment_code">{country}</span><br />","<div class = "column_config_section"> <div class = "column_config_para" style = "ขอบด้านบน: -12em;"> <b> โครงสร้าง: </ b> <span class = "comment_code"> {ถ้า x} </ span> <span class = "comment_code"> {X} </ span> | <span class = "comment_code"> {/ ถ้า} </ span> <br /> <b> สามารถใช้รหัสเหล่านี้: </ b > <br /> <span class = "comment_code"> {} คำนำหน้า </ span> <span class = "comment_code"> {name} </ span> <span class = "comment_code"> {Firs​​tName} </ span> <span class = "comment_code"> {นามสกุล} </ span> <span class = "comment_code"> {ต่อท้าย} </ span> <span class = "comment_code"> { บริษัท } </ span> <ระดับช่วง = " comment_code "> {สถาน} </ span> <span class =" comment_code "> {เมือง} </ span> <span class =" comment_code "> {รหัสไปรษณีย์} </ span> <span class =" comment_code "> {ประเทศ } </ span> <br />"
"<div class="column_config_section"><div class="column_config_para" style="margin-top: -7.5em;"><b>Structure:</b> <span class = "comment_code">{Attribute A}</span>,<span class = "comment_code">{Attribute  B}</span>","<div class = "column_config_section"> <div class = "column_config_para" style = "ขอบด้านบน: -7.5em;"> <b> โครงสร้าง: </ b> <span class = "comment_code"> {} แอตทริบิวต์ < / span> <span class = "comment_code"> {B} แอตทริบิวต์ </ span>"
"<div class="column_config_section"><div class="column_config_para" style="margin-top: -7.5em;"><b>Structure:</b> <span class = "comment_code">{if x}</span><span class = "comment_code">{x}</span>,|<span  class = "comment_code">{/if}</span><br /><b>Can use these codes: </b><br /><span class = "comment_code">{prefix}</span><span  class = "comment_code">{name}</span><span class = "comment_code">{firstname}</span><span class = "comment_code">{lastname}</span><span  class = "comment_code">{suffix}</span><span class = "comment_code">{company}</span><span class = "comment_code">{street}</span><span  class = "comment_code">{city}</span><span class = "comment_code">{postcode}</span><span class = "comment_code">{country}</span><br />","<div class = "column_config_section"> <div class = "column_config_para" style = "ขอบด้านบน: -7.5em;"> <b> โครงสร้าง: </ b> <span class = "comment_code"> {} ถ้า x < / span> <span class = "comment_code"> {x} </ span> | <span class = "comment_code"> {/ ถ้า} </ span> <br /> <b> สามารถใช้รหัสเหล่านี้: </ b> <br /> <span class = "comment_code"> {} คำนำหน้า </ span> <span class = "comment_code"> {name} </ span> <span class = "comment_code"> {Firs​​tName} </ span > <span class = "comment_code"> {นามสกุล} </ span> <span class = "comment_code"> {ต่อท้าย} </ span> <span class = "comment_code"> { บริษัท } </ span> <span class = "comment_code"> {สถาน} </ span> <span class = "comment_code"> {เมือง} </ span> <span class = "comment_code"> {รหัสไปรษณีย์} </ span> <span class = "comment_code"> { ประเทศ} </ span> <br />"
"<div class="column_config_section"><div class="column_config_para" style="margin-top: -7.5em;"><b>Structure:</b><br />","<div class = "column_config_section"> <div class = "column_config_para" style = "ขอบด้านบน: -7.5em;"> <b> โครงสร้าง: </ b> <br />"
"<div class="column_config_section"><div class="column_config_para">[No] Some couriers (like Royal Mail) require no accents in shipping labels.</div></div>","<div class = "column_config_section"> <div class = "column_config_para"> [ไม่มี] บางบริการจัดส่งสินค้า (เช่นรอยัลเมล์) ไม่จำเป็นต้องมีสำเนียงในการจัดส่งป้าย. </ div> </ div>"
"<div class="column_config_section"><div class="column_config_para"><b>Structure:</b><br />","<div class = "column_config_section"> <div class = "column_config_para"> <b> โครงสร้าง: </ b> <br />"
"<div class="column_config_section"><div class="column_config_para">eg. Put your country, then only overseas orders will have country added </div></div>","<div class = "column_config_section"> <div class = "column_config_para"> เช่น นำประเทศของคุณแล้วเท่านั้นคำสั่งซื้อจากต่างประเทศจะมีประเทศเพิ่ม </ div> </ div>"
"<div class="column_config_section"><div class="column_config_para">If your PDFs print with missing or tofu (<b style="font-size:200%;font-weight:100;display:inline;position:relative;top:5px;">&#9647;</b>) characters, set this to 'Yes'.<br/>Setting this to 'Yes' will make your PDFs about 0.4mb bigger.<br/>If that doesn't work for you: set 'Customise fonts' to 'Yes'; then set 'Use non-roman characters to 'Yes'; then try the other font families.</div></div>","<div class = "column_config_section"> <div class = "column_config_para"> หากไฟล์ PDF พิมพ์ด้วยหายไปหรือเต้าหู้ (<สไตล์ B = "font-size: 200%; font-weight: 100 แสดง: อินไลน์; ตำแหน่ง: ญาติ ; ด้านบน: 5px; "> & # 9647; </ b>) ตัวอักษรตั้งค่านี้ 'ใช่' <br/> การตั้งค่านี้ 'ใช่' จะทำให้ไฟล์ PDF ของคุณเกี่ยวกับ 0.4mb ที่ใหญ่กว่า <br/> หากที่.. ไม่ทำงานสำหรับคุณ: ชุด 'กำหนดค่าแบบอักษร' เป็น 'ใช่'; จากนั้นตั้งค่า 'ใช้อักขระที่ไม่ใช่โรมัน' ใช่ '; แล้วลองครอบครัวตัวอักษรอื่น ๆ . </ div> </ div>"
"<div class="column_config_section"><div class="column_config_para">Set to the most prominent colour in your logo. [#8AC371]<br/>(Used for title borders).</div></div>","<div class = "column_config_section"> <div class = "column_config_para"> ตั้งค่าสีที่โดดเด่นที่สุดในโลโก้ของคุณ [# 8AC371] <br/> (ใช้สำหรับเส้นขอบชื่อเรื่อง). </ div> </ div>"
"<div class="column_config_section"><div class="column_config_para">Use this if you need a specific cutoff point (eg for labels) which the auto-cutoff is going over","<div class = "column_config_section"> <div class = "column_config_para"> การใช้งานนี้ถ้าคุณจำเป็นต้องจุดตัดที่เฉพาะเจาะจง (เช่นป้าย) ซึ่งอัตโนมัติตัดเป็นไปมากกว่า"
"<img src="//moogento.com/logo/moogento_tinylogo.lp.png" alt="Moogento" width="20" style="vertical-align:bottom;margin-left:-1px;"/> MOOGENTO Extensions","<img src = "// moogento.com/logo/moogento_tinylogo.lp.png" alt = "Moogento" width = "20" style = "แนวตั้ง-align: ล่างขอบซ้าย: -1px;" /> MOOGENTO ส่วนขยาย"
"18 Flag","18 ธง"
"2 places","สถานที่ 2 แห่ง"
"21 Flag","21 ธง"
"2a Shipmethod match","การแข่งขัน 2a Shipmethod"
"2b Shipmethod match","การแข่งขัน 2b Shipmethod"
"2c Shipmethod match","การแข่งขัน 2C Shipmethod"
"2d Country negative match","2D ประเทศทำงานแบบเชิงลบ"
"2nd attribute?","แอตทริบิวต์ที่ 2?"
"2nd background image?","ภาพพื้นหลังที่ 2?"
"2nd Custom page title","ชื่อหน้ากำหนดเอง 2"
"2nd Image file","ไฟล์ภาพที่ 2"
"2nd Order attribute code","2 สั่งซื้อแอตทริบิวต์รหัส"
"2nd Order custom attribute?","2 สั่งซื้อแอตทริบิวต์ที่กำหนดเอง?"
"2nd page title","ชื่อหน้า 2"
"2nd Sort by :","2 เรียงตาม:"
"2nd sort direction :","ทิศทางการจัดเรียงที่ 2:"
"3 places","3 ตำแหน่ง"
"3rd attribute?","แอตทริบิวต์ที่ 3?"
"4 places","4 ตำแหน่ง"
"4th attribute?","แอตทริบิวต์ที่ 4?"
"Above address","ดังกล่าวข้างต้นอยู่"
"According to the USPS all addresses should be capitalised to improve delivery time","ตามที่ USPS อยู่ทั้งหมดควรได้รับทุนในการปรับปรุงเวลาการส่งมอบ"
"According to the USPS all addresses should be capitalised to improve delivery time and accuracy","ตามที่ USPS อยู่ทั้งหมดควรได้รับทุนในการปรับปรุงเวลาการส่งมอบและความถูกต้อง"
"Action Menu Options","ตัวเลือกการดำเนินการเมนู"
"Actual attribute code (eg: shelf)","รหัสแอตทริบิวต์ที่เกิดขึ้นจริง (เช่นการเก็บรักษา)"
"Add 'Packed by' note?","เพิ่ม 'บรรจุโดย' โน้ต?"
"Add <b><a href="https://moogento.com/autocn22">autoCN22</a> Customs label?</b>","เพิ่ม <b> <a href="https://moogento.com/autocn22"> autoCN22 </a> ฉลากศุลกากร? </ b>"
"Add 1 per line, exact attribute labels which you *don't* want to show","เพิ่ม 1 ต่อบรรทัด, ป้ายแอตทริบิวต์ที่แน่นอนที่คุณ * * * * * * * * ไม่ต้องการที่จะแสดง"
"Add 2nd Order ID barcode?","เพิ่ม 2 บาร์โค้ดรหัสคำสั่งซื้อ?"
"Add 2nd shipping address?","เพิ่มที่อยู่ในการจัดส่ง 2?"
"Add 2nd shipping-type image?","เพิ่มรูปภาพการจัดส่งสินค้าประเภทที่ 2?"
"Add 3rd shipping-type image?","เพิ่มรูปภาพการจัดส่งสินค้าประเภทที่ 3?"
"Add a 2nd background image?","เพิ่มภาพพื้นหลังที่ 2?"
"Add a 2nd page title?","เพิ่มชื่อหน้า 2?"
"Add a background image?","เพิ่มภาพพื้นหลังหรือไม่?"
"Add a flat shipping address?","เพิ่มที่อยู่จัดส่งแบน?"
"Add address label?","เพิ่มป้ายกำกับอยู่?"
"Add an <b>autoCN22</b> page?","เพิ่ม autoCN22 </ b> <b>?"
"Add an <b>order-summary</b> label?","เพิ่ม <b> เพื่อสรุป </ b> Label?"
"Add company address to header?","เพิ่มที่อยู่ของ บริษัท ส่วนหัว?"
"Add company address?","เพิ่มที่อยู่ บริษัท ?"
"Add fixed weight?","เพิ่มน้ำหนักถาวร?"
"Add flare to gift messages?","เพิ่มลุกเป็นไฟไปยังข้อความของขวัญ?"
"Add flat shipping address?","เพิ่มที่อยู่จัดส่งแบน?"
"Add full-page background image?","เพิ่มภาพพื้นหลังแบบเต็มหน้า?"
"Add header logo?","เพิ่มโลโก้หัว?"
"Add image background to label?","เพิ่มภาพพื้นหลังที่จะติดป้าย?"
"Add letterhead?","เพิ่มจดหมาย?"
"Add logo?","เพิ่มโลโก้?"
"Add on right of SKU","เพิ่มที่ด้านขวาของ SKU"
"Add Order ID above address?","เพิ่มรหัสการสั่งซื้อดังกล่าวข้างต้นอยู่?"
"Add Order ID barcode?","เพิ่มบาร์โค้ดรหัสคำสั่งซื้อ?"
"Add ordered qty to stock-needed qty?","เพิ่มจำนวนได้รับคำสั่งให้จำนวนหุ้นที่จำเป็น?"
"Add page background image?","เพิ่มภาพพื้นหลังหน้า?"
"Add return address at bottom?","เพิ่มผลตอบแทนอยู่ที่ด้านล่าง?"
"Add return address?","เพิ่มที่อยู่กลับมา?"
"Add shipping address at bottom?","เพิ่มที่อยู่จัดส่งที่ด้านล่าง?"
"Add shipping label image?","เพิ่มรูปภาพป้ายการจัดส่ง?"
"Add shipping label?","เพิ่มป้ายชื่อการจัดส่งสินค้า?"
"Add shipping-type image?","เพิ่มรูปภาพการจัดส่งสินค้าประเภท?"
"Add static text?","เพิ่มข้อความแบบคงที่?"
"Add tax in order subtotal [Europe Standard]","เพิ่มภาษีในผลรวมย่อยเพื่อ [ยุโรปมาตรฐาน]"
"Add tax to number?","เพิ่มภาษีจำนวน?"
"Add tax to product line subtotal [US Standard]","เพิ่มภาษีให้กับสายผลิตภัณฑ์ของผลรวมย่อย [US มาตรฐาน]"
"Add tracking number as barcode?","เพิ่มหมายเลขติดตามเป็นบาร์โค้ด?"
"Add tracking number?","เพิ่มหมายเลข Tracking?"
"Address format","รูปแบบที่อยู่"
"Address label : Color","ฉลากที่อยู่: สี"
"Address label : Font","ฉลากที่อยู่: ตัวอักษร"
"Address label : Size","ฉลากที่อยู่: ขนาด"
"Address label : Style","ฉลากที่อยู่: สไตล์"
"Address text","ข้อความที่อยู่"
"Address text, Default","ที่อยู่ข้อความเริ่มต้น"
"Address text, Group 1","ที่อยู่ข้อความกลุ่มที่ 1"
"Address text, Group 2","ที่อยู่ข้อความกลุ่มที่ 2"
"Address text, Group 3","ที่อยู่ข้อความกลุ่มที่ 3"
"Address-label Sheet Options","ตัวเลือกที่อยู่แผ่นป้าย"
"Adds a field for shipping methods that don't come from WSA Store Pickup","เพิ่มช่องสำหรับวิธีการจัดส่งที่ไม่ได้มาจากร้าน WSA รถกระบะ"
"Admin: Order-view PDF Invoice and Packing Sheet button?","ผู้ดูแลระบบ: การสั่งซื้อการดูไฟล์ PDF ใบแจ้งหนี้และแผ่นบรรจุปุ่ม?"
"Admin: Order-view PDF Invoice button?","ผู้ดูแลระบบ: การสั่งซื้อปุ่มดูไฟล์ PDF Invoice ได้อย่างไร?"
"Admin: Order-view PDF Packing Sheet button?","ผู้ดูแลระบบ: การสั่งซื้อปุ่มดูไฟล์ PDF บรรจุแผ่น?"
"Admin: Order-view PDF Zebra Label button?","ผู้ดูแลระบบ: การสั่งซื้อการดูไฟล์ PDF ม้าลายปุ่ม Label?"
"Admin: Order-view Resend Email button?","ผู้ดูแลระบบ: การสั่งซื้อดูปุ่มส่งอีเมลอีกครั้ง?"
"Alert Flag","ธงประจำการแจ้งเตือน"
"Align text : center","จัดตำแหน่งข้อความ: ศูนย์"
"Align text : left","จัดตำแหน่งข้อความ: ซ้าย"
"All","ทั้งหมด"
"All : non-interlaced <b>and</b> non-transparent .png","ทั้งหมด: ไม่ใช่ interlaced <b> และ </ b> .png ไม่โปร่งใส"
"Allow Customers to Make PDFs?","ช่วยให้ลูกค้าสามารถทำไฟล์ PDF?"
"Alternate row color","สีสลับแถว"
"Alternate row in picklists","แถวอื่นใน picklists"
"Alternate, billing down, shipping up","สลับการเรียกเก็บเงินลงการจัดส่งสินค้าขึ้น"
"Always override &amp; use shippingRules Shipping Connector Label if available?","เสมอแทนที่ & amp; ใช้เชื่อมต่อ shippingRules การจัดส่งสินค้าฉลากถ้ามี?"
"Amount to add","จำนวนเงินที่จะเพิ่ม"
"Angle Text","มุมข้อความ"
"Angled Ribbon","ริบบิ้นมุม"
"Applies to Packing Sheets and Invoices, in the section which shows shipping method etc.","นำไปใช้กับเอกสารการบรรจุและใบแจ้งหนี้ในส่วนที่แสดงให้เห็นถึงวิธีการจัดส่ง ฯลฯ"
"Ascending","จากน้อยไปมาก"
"Attr.(1) Xpos","attr (1). Xpos"
"Attr.(2) Xpos","attr. (2) Xpos"
"Attr.(3) Xpos","attr. (3) Xpos"
"Attr.(4) Xpos","attr. (4) Xpos"
"Attribute 1","แอตทริบิวต์ 1"
"Attribute 2","แอตทริบิวต์ 2"
"Attribute 3","แอตทริบิวต์ 3"
"Attribute 4","แอตทริบิวต์ 4"
"Attribute code","รหัสแอตทริบิวต์"
"Attribute code (eg. for shelving info, maybe you have an attribute: shelf)<br /><b>You need to have created this attribute, and assigned values for each product for it to work!</b>","แอตทริบิวต์รหัส (. เช่นการเก็บเข้าลิ้นชักข้อมูลบางทีคุณอาจมีแอตทริบิวต์: หิ้ง) <br /> <b> คุณจำเป็นต้องมีการสร้างคุณลักษณะนี้และได้รับมอบหมายค่าสำหรับแต่ละผลิตภัณฑ์เพื่อให้การทำงาน </ b>!"
"Attribute code 1:","แอตทริบิวต์รหัส 1:"
"Attribute code 2:","แอตทริบิวต์รหัส 2:"
"Attribute code 3:","แอตทริบิวต์รหัส 3:"
"Attribute code 4:","แอตทริบิวต์รหัส 4:"
"Attribute code 5:","แอตทริบิวต์รหัสที่ 5:"
"Attribute code for shelving info; eg. shelf","Attribute สำหรับเก็บเข้าลิ้นชักข้อมูล; เช่น. หิ้ง"
"Attribute code for supplier data; Default: supplier","Attribute สำหรับข้อมูลที่ซัพพลายเออร์; เริ่มต้น: ผู้จัดจำหน่าย"
"Attribute code; eg. shelf","แอตทริบิวต์รหัส; เช่น. หิ้ง"
"Attribute codes?","แอตทริบิวต์รหัส?"
"Attribute column title","Attribute ชื่อคอลัมน์"
"Attribute to show","แอตทริบิวต์ที่จะแสดง"
"Attribute to sort by :","แอตทริบิวต์การจัดเรียงโดย:"
"Attribute to use as product name","แอตทริบิวต์ที่จะใช้เป็นชื่อผลิตภัณฑ์"
"Auto description 1","คำอธิบายอัตโนมัติ 1"
"Auto description 3","คำอธิบาย Auto 3"
"Auto Processing","การประมวลผลอัตโนมัติ"
"Automatic action :","การกระทำอัตโนมัติ:"
"Automatic action #2:","ทำงานอัตโนมัติ # 2:"
"Automatic action #3:","ทำงานอัตโนมัติ # 3:"
"Automation Connection","การเชื่อมต่อการทำงานอัตโนมัติ"
"Background Image","ภาพพื้นหลัง"
"Background image position","ตำแหน่งภาพพื้นหลัง"
"Background image?","ภาพพื้นหลัง?"
"barcode : Font","บาร์โค้ด: ตัวอักษร"
"barcode font size","ขนาดตัวอักษรบาร์โค้ด"
"barcode Font Size (Orders)","บาร์โค้ดขนาดตัวอักษร (คำสั่งซื้อ)"
"barcode Font Size (Products)","บาร์โค้ดขนาดตัวอักษร (Products)"
"barcode font-size","บาร์โค้ดขนาดตัวอักษร"
"barcode size","ขนาดบาร์โค้ด"
"barcode X-pos.","บาร์โค้ด X-POS"
"Because the Order currency is different from the Store currency, the conversion from","เนื่องจากสกุลเงินสั่งซื้อสินค้าที่แตกต่างจากสกุลเงินร้านที่แปลงจาก"
"Beside address","ข้างอยู่"
"Billing address position","ตำแหน่งที่อยู่การเรียกเก็บเงิน"
"Billing address posititon","การเรียกเก็บเงิน posititon อยู่"
"Billing address title","ชื่อที่อยู่การเรียกเก็บเงิน"
"Bkg","BKG"
"Blank = #000000 (#HEX colour code)","Blank = # 000000 (รหัสสี #HEX)"
"Blank box image","ภาพกล่องเปล่า"
"Bold","กล้า"
"Bold 'Extra shipping details' labels?","ป้าย Bold 'รายละเอียดการจัดส่งสินค้าเสริม'?"
"Bold italic","ตัวเอียงตัวหนา"
"Bold last line in page-base shipping addresses?","บรรทัดสุดท้ายเป็นตัวหนาในที่อยู่จัดส่งหน้าฐาน?"
"Bold last line in page-top shipping addresses?","บรรทัดสุดท้ายเป็นตัวหนาในที่อยู่จัดส่งหน้า Top?"
"Bold product name?","ชื่อผลิตภัณฑ์ Bold?"
"Border color","สีของเส้นขอบ"
"Bottom of page","ด้านล่างของหน้า"
"Box 1 Image","กล่อง 1 รูป"
"Box 2a Image (Store Pickup)","กล่อง 2A ภาพ (ร้านรถกระบะ)"
"Box 2b Image (Express Mail)","กล่อง 2b ภาพ (ด่วน Mail)"
"Box 2c Image (Priority International)","กล่อง 2C ภาพ (ลำดับความสำคัญระหว่างประเทศ)"
"Box 2d Image (Standard International)","กล่อง 2D ภาพ (มาตรฐานสากล)"
"Box 3 Image","3 กล่องภาพ"
"Box count estimation?","กล่องนับประมาณค่า?"
"Bring up top address?","ขึ้นมาอยู่ด้านบน?"
"Buttons for PDFs","ปุ่มสำหรับไฟล์ PDF"
"By default we output ANSI, which works well for Windows machines and special characters.<br >If you need UTF-8, just choose that here","โดยเราเริ่มต้นการส่งออก ANSI ซึ่งทำงานได้ดีสำหรับเครื่อง Windows และอักขระพิเศษ. <br> หากคุณต้องการ UTF-8 เพียงแค่เลือกที่นี่"
"By Height","โดยความสูง"
"By Width","ตามความกว้าง"
"Calculate line totals by:","คำนวณผลรวมบรรทัดโดย:"
"Callout colour","สีไฮไลต์"
"Can be handy to reduce customer support - eg. set to a custom Processing status of 'Packing your order now'","จะมีประโยชน์ในการลดการสนับสนุนลูกค้า - เช่น ตั้งสถานะการประมวลผลที่กำหนดเองของบรรจุคำสั่งของคุณตอนนี้ '"
"Cancel?","ยกเลิก?"
"Capitalise shipping labels?","Capitalise การจัดส่งป้าย?"
"Category translation","แปลหมวดหมู่"
"Center values?","ค่าศูนย์?"
"Centered in page","ศูนย์กลางในหน้า"
"Centered in product list","เป็นศูนย์กลางในรายการสินค้า"
"Change order status","เปลี่ยนสถานะการสั่งซื้อ"
"Change the layout of shipping addresses","เปลี่ยนรูปแบบของที่อยู่จัดส่ง"
"Change to status:","เปลี่ยนสถานะ:"
"Check for gift message?","ตรวจสอบข้อความที่ระลึก?"
"Clear Cached Images in pickPack","รูปภาพ Cached ชัดเจนในการ pickPack"
"Code","รหัส"
"Color","สี"
"Color attribute","แอตทริบิวต์สี"
"Color X-pos.","สี X-POS"
"Column mapping","การทำแผนที่คอลัมน์"
"Columns Y-X-pos.","คอลัมน์ Y-X-POS"
"Combine attribute?","Combine แอตทริบิวต์?"
"Combine custom attributes under product line?","รวมแอตทริบิวต์ที่กำหนดเองภายใต้สายผลิตภัณฑ์?"
"Combine custom product attributes under the product line?","รวมคุณลักษณะของผลิตภัณฑ์ที่กำหนดเองภายใต้สายผลิตภัณฑ์?"
"Combine pdfs","รวมไฟล์ PDF"
"Combine product line details?","รวมรายละเอียดสายผลิตภัณฑ์?"
"Combine the custom attributes listed below?","Combine แอตทริบิวต์ที่กำหนดเองที่ระบุไว้ดังต่อไปนี้?"
"Combined Attributes Xpos","รวมคุณสมบัติ Xpos"
"Combined Packing Sheet/Invoice' grouped by Order ID?","รวมบรรจุแผ่น / ใบแจ้งหนี้ 'จัดกลุ่มตามรหัสคำสั่งซื้อ?"
"Combined pdfs?","รวมไฟล์ PDF?"
"Comma separated top,bottom widths (eg 1,2)","คั่นด้วยเครื่องหมายจุลภาคบนความกว้างด้านล่าง (เช่น 1,2)"
